Lag,Full_Cosine,PCA_50_Cosine
1,0.0042,0.0369
2,0.0062,0.0661
3,0.0078,0.0896
4,0.0093,0.1112
5,0.0106,0.1308
6,0.0118,0.1497
7,0.013,0.1685
8,0.0141,0.1864
9,0.0152,0.2043
10,0.0164,0.2231
11,0.0175,0.2425
12,0.0186,0.2599
13,0.0197,0.2767
14,0.0208,0.2936
15,0.0217,0.3088
16,0.0226,0.3232
17,0.0235,0.3378
18,0.0244,0.3525
19,0.0252,0.3664
20,0.026,0.381
